nmId,rank,revenue,price,units,rating,comments,salesPerDay,brand,name
396043253,118,13127438,1283,9267,5,1645,102,"INLITE","Рубашка оверсайз прозрачная летняя"
258326183,119,13122077,2712,5373,5,17929,59,"MENOLA","Рубашка в клетку оверсайз со стразами"
822611845,120,12922443,2475,4836,5,1062,53,"Levient","Жаккарда блузка нарядная с баской и рукавами фонариками"
694695756,121,12891563,2310,7392,5,2926,81,"PREMIUM B","Рубашка ласточка на запах в полоску"
317965312,122,12798394,1596,8672,5,1234,95,"Zella","Рубашка летняя легкая туника парео пляжное муслин хлопок100%"
797470537,123,12737246,2812,7204,5,2635,79,"ТЫСЯЧА СТОЛИЦ","Блузка раффл с завышенной талией и манжетами"
918857520,124,12714748,2370,5404,5,173,59,"Zella","Блузка летняя хлопковая в больших размерах"
249545959,125,12663382,1445,8571,5,2341,94,"Larisabelle","Рубашка летняя прозрачная оверсайз"
214652884,126,12577129,479,12914,5,2799,142,"BONTA LOVE","Блузка офисная больших размеров"
165232042,127,12573228,1223,8962,5,16229,98,"THIRTEEN BRAND","Летняя Рубашка в клетку оверсайз"
111687725,128,12569678,2195,6448,5,4508,71,"Baleroshka","Блузка школьная нарядная с длинным рукавом"
231690683,129,12447590,2756,5110,5,5661,56,"COSMO BRAND","Рубашка классическая для офиса и школы"
304389737,130,12417884,1590,7605,5,1116,84,"Camicia","Блузка летняя с коротким рукавом"
821931687,131,12409020,1575,8092,5,1890,89,"Байрасс","рубашка полоску оверсайз"
226093876,132,12238356,2457,5021,5,23939,55,"Apparelle","Рубашка оверсайз в полоску"
342248350,133,12218858,2168,5372,5,2035,59,"VZROSLAЯ","Рубашка оверсайз в полоску"
396148266,134,12207536,1326,8670,5,1387,95,"UVA style","Рубашка летняя оверсайз марлевка"
85015015,135,12159363,1246,11545,5,12260,127,"Larss","Туника пляжная летняя накидка"
357842511,136,12087237,1584,5832,5,8415,64,"Alesta Bis","Блузка с коротким рукавом рубашка школьная"
471106173,137,12059001,1620,7960,5,5702,87,"LallyRose","Блузка нарядная кимоно"
583062891,138,11986890,1951,6548,5,3144,72,"Аisаmikg","Рубашка на запах в полоску"
412019146,139,11966914,1384,8594,5,2784,94,"Purrr","Рубашка длинная оверсайз в полоску"
851528426,140,11905546,1000,11705,5,1092,129,"Lady of the Moon","Блузка женская летняя с коротким рукавом"
896488700,141,11901557,1550,8359,5,626,92,"","Рубашка оверсайз прозрачная летняя марлевка"
163691368,142,11857738,1568,11646,5,8741,128,"ТЫСЯЧА СТОЛИЦ","Блузка летняя хлопковая"
274639463,143,11785907,1971,6595,5,3822,72,"","Блузка летняя белая кружевная офисная"
363113417,144,11756798,1584,5783,5,8415,64,"Alesta Bis","Блузка рубашка с коротким рукавом летняя"
104552384,145,11695740,1548,11412,5,73375,125,"Malozemoff","Рубашка классическая школьная офисная"
849239441,146,11612954,1899,6809,5,393,75,"MOLLYLANS","Нарядная блузка школьная"
896488699,147,11590121,1550,8209,5,750,90,"","Рубашка оверсайз прозрачная летняя марлевка"
317965478,148,11575405,1493,7871,5,1842,86,"Zella","Рубашка летняя легкая туника парео пляжное из хлопка"
370315977,149,11563451,3542,3844,5,919,42,"OCHEVIDNO","Рубашка туника пляжная льняная накидка"
434589752,150,11549879,2310,6106,5,4866,67,"PREMIUM B","Рубашка в полоску нарядная"
497951913,151,11522666,2310,7798,5,8799,86,"PREMIUM B","Рубашка в клетку нарядная y2k"
219401071,152,11434201,1860,4502,5,15247,49,"AIDEMIKO","Рубашка из муслина с длинным рукавом оверсайз"
143912902,153,11375182,2442,5179,5,26292,57,"TFcollection","Рубашка оверсайз школьная офисная"
435980977,154,11326248,2457,4014,5,23939,44,"Apparelle","Летняя рубашка оверсайз в полоску"
724652093,155,11307484,967,9746,5,3716,107,"PREMIUM B","Рубашка оверсайз летняя хлопок"
410294887,156,11293566,1040,8648,5,5373,95,"Purrr","Блузка нарядная"
804275936,157,11287797,1124,7618,5,420,84,"","Рубашка оверсайз прозрачная летняя"
807431420,158,11182266,1440,5348,5,1104,59,"mgnovenie","Рубашка летняя льняная оверсайз"
213111048,159,11154285,2613,4823,5,10075,53,"COSMO BRAND","Хлопковая рубашка в полоску оверсайз летняя"
715862783,160,11148770,4736,2357,5,2277,26,"Lanicka","Блузка рубашка льняная свободная с коротким рукавом белая"
219746924,161,11083086,3102,4589,5,4332,50,"D&U mens","Рубашка с длинным рукавом оверсайз"
160987535,162,11075874,1318,13056,5,19373,143,"ТЫСЯЧА СТОЛИЦ","Блузка летняя кружевная хлопок"
388242808,163,11000203,2640,5126,5,2329,56,"WEV","Рубашка офисная оверсайз нарядная блузка"
160390184,164,10999703,1537,6951,5,4420,76,"2Nika","Блузка офисная с коротким рукавом и в школу"
942648231,165,10924118,1080,8872,5,650,97,"CZY STYLE","Блузка офисная больших размеров"
229150189,166,10899804,1151,9368,5,1196,103,"BONTA LOVE","Блузка летняя офисная с коротким рукавом"
434588754,167,10868778,2310,5763,5,4866,63,"PREMIUM B","Рубашка в полоску нарядная с кружевами"
317965479,168,10782477,1648,7039,5,1665,77,"Zella","Рубашка летняя легкая туника парео пляжное из хлопка"
825063127,169,10782429,1298,8033,5,438,88,"","Рубашка оверсайз прозрачная летняя"
357842512,170,10782180,1584,5555,5,8415,61,"Alesta Bis","Летняя блузка с коротким рукавом рубашка"
207536096,171,10752783,1123,11017,5,10229,121,"ТЫСЯЧА СТОЛИЦ","Блузка нарядная летняя"
819999837,172,10704259,8035,1074,5,137,12,"OKSANA UTOVA BRAND","Рубашка оверсайз с вышивкой"
207553595,173,10681941,1937,6662,5,1798,73,"TEKCA.LINE","Блузка женская белая"
1066722588,174,10632870,1900,6351,5,1926,70,"LallyRose","Рубашка в полоску оверсайз"
197773072,175,10600484,1890,6353,5,11667,70,"Camicia","Блузка топ белая школьная"
229148305,176,10582349,1559,6545,5,876,72,"BONTA LOVE","Блузка летняя офисная с коротким рукавом"
232162832,177,10519335,1339,7707,5,1674,85,"UVA style","Рубашка оверсайз летняя прозрачная"
825060743,178,10518772,1136,7795,5,475,86,"","Рубашка оверсайз прозрачная летняя"
149864229,179,10516463,1482,6542,5,8163,72,"Larss","Туника пляжная накидка на купальник"
114753165,180,10489775,1393,9509,5,25329,104,"Bentog","Туника рубашка хлопковая больших размеров"
500127802,181,10406380,1407,6492,5,1541,71,"Purrr","Блузка бохо из муслина"
452474479,182,10390677,1830,7838,5,1633,86,"AklSon","школьная рубашка на пуговицах"
325738583,183,10385044,1684,6299,5,1754,69,"MOVATTY","Школьная блузка нарядная"
251575390,184,10348359,2457,4167,5,23939,46,"Apparelle","Рубашка оверсайз в полоску"
76720500,185,10300803,1530,9024,5,77832,99,"Malozemoff","Рубашка удлиненная приталенная базовая офисная школьная"
